model_name,part,eraser,n_rows_fit,n_rows_heldout,n_pairs,shrinkage,d,layer,leace_rank,cov_effective_rank_fit,probe_pre,probe_post,max_abs_cov_post_fit,abs_cos_to_contrast_basis
llama-3.1-8b-instruct,part_a,swap_small,114,1050,50.0,True,4096,8,1,101,0.659047619047619,0.5,7.306797462597228e-08,0.19870003290190508
llama-3.1-8b-instruct,part_a,swap_small,114,1050,50.0,True,4096,16,1,101,0.6819047619047619,0.5,1.1666040671499151e-07,0.1650705046507722
llama-3.1-8b-instruct,part_a,swap_small,114,1050,50.0,True,4096,24,1,101,0.679047619047619,0.5,1.8835590596784626e-07,0.12783380160047958
llama-3.1-8b-instruct,part_a,swap_300,684,1050,300.0,True,4096,8,1,539,0.7066666666666667,0.4714285714285714,9.759037880695354e-05,0.01921769564610902
llama-3.1-8b-instruct,part_a,swap_300,684,1050,300.0,True,4096,16,1,539,0.7266666666666667,0.5104761904761905,0.0001704143850426925,0.04170604705466084
llama-3.1-8b-instruct,part_a,swap_300,684,1050,300.0,True,4096,24,1,540,0.7152380952380952,0.48,0.00026047486016711995,0.03226494624127438
llama-3.1-8b-instruct,part_a,swap_max,4108,1050,1868.0,True,4096,8,1,1451,0.6866666666666666,0.5504761904761905,0.00020323186648507196,0.10628453883434127
llama-3.1-8b-instruct,part_a,swap_max,4108,1050,1868.0,True,4096,16,1,1451,0.7066666666666667,0.48857142857142855,0.0002697401211273738,0.08672230481614429
llama-3.1-8b-instruct,part_a,swap_max,4108,1050,1868.0,True,4096,24,1,1457,0.7,0.5142857142857142,0.0004546991272846703,0.020551622434567183
llama-3.1-8b-instruct,part_a,swap_max_noshrink,4108,1050,1868.0,False,4096,8,1,1451,0.6866666666666666,0.5542857142857143,0.00020746351967854996,0.10628765014741527
llama-3.1-8b-instruct,part_a,swap_max_noshrink,4108,1050,1868.0,False,4096,16,1,1451,0.7066666666666667,0.48857142857142855,0.0002819194140805053,0.08672627917506252
llama-3.1-8b-instruct,part_a,swap_max_noshrink,4108,1050,1868.0,False,4096,24,1,1457,0.7,0.49047619047619045,0.0005159954671469584,0.02055058627500761
llama-3.1-8b-instruct,part_b,gender_large,5724,2170,,True,4096,8,1,2177,1.0,0.5645161290322581,3.708775067612218e-05,0.043246057103823884
llama-3.1-8b-instruct,part_b,gender_large,5724,2170,,True,4096,16,1,2408,1.0,0.4875576036866359,6.660846182143438e-05,0.029770314593783834
llama-3.1-8b-instruct,part_b,gender_large,5724,2170,,True,4096,24,1,2572,1.0,0.447926267281106,7.270685863858758e-05,0.0037795744111693893
llama-3.1-8b-instruct,part_b,gender_small,61,2170,,True,4096,8,1,60,0.9907834101382489,0.5170506912442396,7.047716631325576e-08,0.08145531672101128
llama-3.1-8b-instruct,part_b,gender_small,61,2170,,True,4096,16,1,60,0.9907834101382489,0.5170506912442396,8.100849490955787e-07,0.03441613898220018
llama-3.1-8b-instruct,part_b,gender_small,61,2170,,True,4096,24,1,60,0.9907834101382489,0.5170506912442396,1.2288392150771931e-06,0.028582270152793732
qwen2.5-7b-instruct,part_a,swap_small,114,1052,50.0,True,3584,7,1,100,0.6958174904942965,0.5,1.3952192507292096e-06,0.14670730179164992
qwen2.5-7b-instruct,part_a,swap_small,114,1052,50.0,True,3584,14,1,100,0.626425855513308,0.5,1.5591973798316821e-06,0.1791123766979782
