model_name,probe,cond_id,n_questions,accuracy,lo,hi,paired_diff_vs_unedited,diff_lo,diff_hi,perplexity,note
llama-3.1-8b-instruct,mmlu_200,unedited_r0_a0,200,0.715,0.65,0.775,0.0,0.0,0.0,,
llama-3.1-8b-instruct,mmlu_200,identity_alpha0_r1_a0,200,0.715,0.655,0.775,0.0,0.0,0.0,,
llama-3.1-8b-instruct,mmlu_200,cure_centred_svd_r1_a1,200,0.685,0.62,0.745,-0.03,-0.085,0.02,,
llama-3.1-8b-instruct,mmlu_200,cure_centred_svd_r2_a1,200,0.675,0.61,0.74,-0.04,-0.09,0.01,,
llama-3.1-8b-instruct,mmlu_200,cure_centred_svd_r4_a1,200,0.645,0.58,0.71,-0.07,-0.135,-0.005,,
llama-3.1-8b-instruct,mmlu_200,uncentred_svd_r1_a1,200,0.675,0.61,0.74,-0.04,-0.09,0.01,,
llama-3.1-8b-instruct,mmlu_200,uncentred_svd_r2_a1,200,0.675,0.6098750000000001,0.74,-0.04,-0.095,0.01,,
llama-3.1-8b-instruct,mmlu_200,uncentred_svd_r4_a1,200,0.64,0.575,0.705,-0.075,-0.14,-0.01,,
llama-3.1-8b-instruct,mmlu_200,mean_difference_r1_a1,200,0.685,0.6198750000000001,0.745,-0.03,-0.065,0.0,,
llama-3.1-8b-instruct,mmlu_200,leace_faithful_r1_a1,200,0.685,0.62,0.75,-0.03,-0.08,0.02,,
llama-3.1-8b-instruct,mmlu_200,leace_sequential_r1_a1,200,0.705,0.64,0.77,-0.01,-0.04,0.02,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_1_r1_a1,200,0.71,0.645,0.77,-0.005,-0.03,0.02,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_1_r2_a1,200,0.7,0.635,0.76,-0.015,-0.055,0.02,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_1_r4_a1,200,0.705,0.64,0.77,-0.01,-0.05,0.025,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_2_r1_a1,200,0.685,0.62,0.75,-0.03,-0.06,0.0,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_2_r2_a1,200,0.705,0.64,0.77,-0.01,-0.04,0.02,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_2_r4_a1,200,0.71,0.645,0.77,-0.005,-0.045,0.03,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_3_r1_a1,200,0.705,0.64,0.765,-0.01,-0.035,0.015,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_3_r2_a1,200,0.705,0.64,0.77,-0.01,-0.03,0.01,,
llama-3.1-8b-instruct,mmlu_200,random_ortho_3_r4_a1,200,0.695,0.63,0.76,-0.02,-0.055,0.01,,
llama-3.1-8b-instruct,mmlu_200,neutral_contrast_r1_a1,200,0.69,0.625,0.755,-0.025,-0.060124999999999956,0.01,,
llama-3.1-8b-instruct,mmlu_200,neutral_contrast_r2_a1,200,0.675,0.61,0.74,-0.04,-0.09,0.01,,
llama-3.1-8b-instruct,mmlu_200,neutral_contrast_r4_a1,200,0.64,0.57,0.705,-0.075,-0.14,-0.014875000000001819,,
llama-3.1-8b-instruct,wikitext2_20k,unedited_r0_a0,19980,,,,,,,7.7289393730540485,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,identity_alpha0_r1_a0,19980,,,,,,,7.7289393730540485,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,cure_centred_svd_r1_a1,19980,,,,,,,9.553389445990652,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,cure_centred_svd_r2_a1,19980,,,,,,,10.173907277432836,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,cure_centred_svd_r4_a1,19980,,,,,,,14.497425708795749,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,uncentred_svd_r1_a1,19980,,,,,,,9.563756897506542,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,uncentred_svd_r2_a1,19980,,,,,,,10.204635899826297,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,uncentred_svd_r4_a1,19980,,,,,,,14.410506039191787,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,mean_difference_r1_a1,19980,,,,,,,7.887773368100528,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,leace_faithful_r1_a1,19980,,,,,,,8.78373275123661,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,leace_sequential_r1_a1,19980,,,,,,,8.228623841243538,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_1_r1_a1,19980,,,,,,,7.888021942945538,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_1_r2_a1,19980,,,,,,,8.041270078309537,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_1_r4_a1,19980,,,,,,,8.238654849328112,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_2_r1_a1,19980,,,,,,,7.925411695575945,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_2_r2_a1,19980,,,,,,,8.167387823013586,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_2_r4_a1,19980,,,,,,,8.437039250549521,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_3_r1_a1,19980,,,,,,,7.859743689476623,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_3_r2_a1,19980,,,,,,,7.956458928400664,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,random_ortho_3_r4_a1,19980,,,,,,,8.077951706928125,"aggregate only; per-window losses were not saved, so no sampling interval"
llama-3.1-8b-instruct,wikitext2_20k,neutral_contrast_r1_a1,19980,,,,,,,7.8987665265010225,"aggregate only; per-window losses were not saved, so no sampling interval"
