model_name,quantity,n_clusters,estimate,lo,hi,n_seeds,n_first_token_disambiguating,dev_target,alpha,n_edited_mean
gemma-2-2b-it,T_S1 - T_B,80,-0.02138409245612912,-0.056607329884952165,0.014485381917798964,160,,,,
gemma-2-2b-it,acc_S1 - acc_B,80,-0.0625,-0.1,-0.028125,160,,,,
gemma-2-2b-it,bothcorrect_S1 - bothcorrect_B,80,-0.075,-0.13125,-0.03125,160,,,,
gemma-2-2b-it,scoreacc_S1 - scoreacc_B,80,-0.059375,-0.10625,-0.0125,160,,,,
gemma-2-2b-it,flipvalid_S1 - flipvalid_B,80,0.00625,-0.0625,0.08125,160,,,,
gemma-2-2b-it,failcons_S1 - failcons_B,80,0.0875,0.0125,0.1625,160,,,,
gemma-2-2b-it,validity_S1 - validity_B,80,-0.046875,-0.075,-0.025,160,,,,
gemma-2-2b-it,T_SE - T_B,80,0.007996661651266605,-0.01168442220318492,0.030448814709418546,160,,,,
gemma-2-2b-it,acc_SE - acc_B,80,-0.009375,-0.03125,0.0125,160,,,,
gemma-2-2b-it,bothcorrect_SE - bothcorrect_B,80,0.0,-0.025,0.025,160,,,,
gemma-2-2b-it,scoreacc_SE - scoreacc_B,80,-0.021875,-0.05,0.00625,160,,,,
gemma-2-2b-it,flipvalid_SE - flipvalid_B,80,0.03125,-0.025,0.0875,160,,,,
gemma-2-2b-it,failcons_SE - failcons_B,80,0.0375,-0.01875,0.09375,160,,,,
gemma-2-2b-it,validity_SE - validity_B,80,-0.003125,-0.009375,0.0,160,,,,
gemma-2-2b-it,T_NE - T_B,79,-0.0006963658134386735,-0.007270439305423206,0.006639922338764602,153,,,,
gemma-2-2b-it,acc_NE - acc_B,79,-0.00949367088607595,-0.022151898734177215,0.0,153,,,,
gemma-2-2b-it,bothcorrect_NE - bothcorrect_B,79,-0.006329113924050633,-0.0189873417721519,0.0,153,,,,
gemma-2-2b-it,scoreacc_NE - scoreacc_B,79,-0.012658227848101266,-0.03164556962025317,0.0031645569620253164,153,,,,
gemma-2-2b-it,flipvalid_NE - flipvalid_B,79,-0.02531645569620253,-0.056962025316455694,0.0,153,,,,
gemma-2-2b-it,failcons_NE - failcons_B,79,-0.02531645569620253,-0.056962025316455694,0.0,153,,,,
gemma-2-2b-it,validity_NE - validity_B,79,0.0,0.0,0.0,153,,,,
gemma-2-2b-it,T_RE - T_B,80,-0.0006090799227097786,-0.004968844956862761,0.00354998146678403,160,,,,
gemma-2-2b-it,acc_RE - acc_B,80,0.00625,0.0,0.015625,160,,,,
gemma-2-2b-it,bothcorrect_RE - bothcorrect_B,80,0.00625,0.0,0.01875,160,,,,
gemma-2-2b-it,scoreacc_RE - scoreacc_B,80,0.0,-0.015625,0.015625,160,,,,
gemma-2-2b-it,flipvalid_RE - flipvalid_B,80,0.0,-0.01875,0.01875,160,,,,
gemma-2-2b-it,failcons_RE - failcons_B,80,0.0,-0.01875,0.01875,160,,,,
gemma-2-2b-it,validity_RE - validity_B,80,0.0,0.0,0.0,160,,,,
gemma-2-2b-it,T_RNE - T_B,79,0.0015097218898022108,-0.0036188910875377847,0.006604519263636062,153,,,,
gemma-2-2b-it,acc_RNE - acc_B,79,0.0,-0.00949367088607595,0.00949367088607595,153,,,,
gemma-2-2b-it,bothcorrect_RNE - bothcorrect_B,79,0.006329113924050633,0.0,0.0189873417721519,153,,,,
