model_name,aggregation,target,population,n_train,n_test,test_prevalence,threshold_from_train,test_auroc,test_avg_precision,test_accuracy_at_threshold,test_tpr,test_fpr,test_brier_binned,test_brier_constant_baseline,note
gemma-2-2b-it,mean_pair,never_repaired,all_seeds,341,167,0.04790419161676647,0.90625,0.9398584905660377,0.4049363892714276,0.8982035928143712,0.875,0.10062893081761007,0.03783233784478931,0.0456562816266831,one fixed manifest split; threshold and bins fit on fit+dev only
gemma-2-2b-it,mean_pair,never_repaired,initially_failing,59,30,0.26666666666666666,1.1552083333333334,0.5653409090909091,0.40493638927142767,0.5,0.625,0.5454545454545454,0.23405073461891637,0.19641865364358896,one fixed manifest split; threshold and bins fit on fit+dev only
gemma-2-2b-it,mean_pair,high_or_never,all_seeds,341,167,0.0658682634730539,0.90625,0.9600815850815851,0.5898488979051639,0.9161676646706587,0.9090909090909091,0.08333333333333333,0.046997372614569224,0.06153146360764424,one fixed manifest split; threshold and bins fit on fit+dev only
gemma-2-2b-it,mean_pair,high_or_never,initially_failing,59,30,0.36666666666666664,1.2359375,0.6722488038277512,0.5898488979051639,0.5666666666666667,0.6363636363636364,0.47368421052631576,0.2278007346189164,0.23226084458488935,one fixed manifest split; threshold and bins fit on fit+dev only
gemma-2-2b-it,worst_pair,never_repaired,all_seeds,341,167,0.08383233532934131,0.796875,0.9274042950513539,0.45414641769683783,0.844311377245509,0.9285714285714286,0.16339869281045752,0.05558927744603383,0.07680743637380168,one fixed manifest split; threshold and bins fit on fit+dev only
gemma-2-2b-it,worst_pair,never_repaired,initially_failing,78,39,0.358974358974359,2.5606445312500004,0.5557142857142857,0.45414641769683783,0.5641025641025641,0.21428571428571427,0.24,0.2571456552706553,0.23011176857330704,one fixed manifest split; threshold and bins fit on fit+dev only
gemma-2-2b-it,worst_pair,high_or_never,all_seeds,341,167,0.10179640718562874,0.796875,0.946078431372549,0.6036422543559221,0.8622754491017964,0.9411764705882353,0.14666666666666667,0.05987937400150511,0.09147889582158684,one fixed manifest split; threshold and bins fit on fit+dev only
gemma-2-2b-it,worst_pair,high_or_never,initially_failing,78,39,0.4358974358974359,1.3794921875,0.6323529411764706,0.6036422543559221,0.6410256410256411,0.7058823529411765,0.4090909090909091,0.25280982905982907,0.24737015121630507,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,mean_pair,never_repaired,all_seeds,341,167,0.05389221556886228,0.84375,0.9447960618846695,0.3955636955636956,0.844311377245509,1.0,0.16455696202531644,0.04448444006756493,0.05110071220721926,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,mean_pair,never_repaired,initially_failing,65,38,0.23684210526315788,1.1833333333333333,0.6992337164750957,0.3955636955636956,0.6578947368421053,0.6666666666666666,0.3448275862068966,0.2092805979445656,0.19107443164123322,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,mean_pair,high_or_never,all_seeds,341,167,0.07784431137724551,0.84375,0.9635364635364635,0.5782074762843994,0.8682634730538922,1.0,0.14285714285714285,0.05366456752531484,0.07180510025090471,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,mean_pair,high_or_never,initially_failing,65,38,0.34210526315789475,1.177083333333333,0.7753846153846153,0.5782074762843994,0.7631578947368421,0.7692307692307693,0.24,0.19355341015260047,0.22687636250389287,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,worst_pair,never_repaired,all_seeds,341,167,0.11377245508982035,0.7822265624999998,0.9431009957325747,0.5664657692476427,0.8023952095808383,0.9473684210526315,0.21621621621621623,0.06747186156986594,0.10140704478676912,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,worst_pair,never_repaired,initially_failing,107,52,0.36538461538461536,2.041015625,0.74481658692185,0.5664657692476427,0.6538461538461539,0.3157894736842105,0.15151515151515152,0.21514511405847975,0.23733513844003842,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,worst_pair,high_or_never,all_seeds,341,167,0.1497005988023952,0.7822265624999998,0.9491549295774648,0.6620032690889279,0.8383233532934131,0.96,0.18309859154929578,0.07129031162627485,0.12759500048586617,one fixed manifest split; threshold and bins fit on fit+dev only
llama-3.1-8b-instruct,worst_pair,high_or_never,initially_failing,107,52,0.4807692307692308,1.9328124999999998,0.7325925925925926,0.6620032690889279,0.6153846153846154,0.32,0.1111111111111111,0.22510114938764625,0.25232805014882054,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,mean_pair,never_repaired,all_seeds,341,167,0.017964071856287425,0.9479166666666667,0.9491869918699187,0.26014492753623186,0.8502994011976048,1.0,0.1524390243902439,0.020163754124404253,0.01831862285696836,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,mean_pair,never_repaired,initially_failing,71,36,0.08333333333333333,1.71875,0.7474747474747474,0.26014492753623186,0.75,0.6666666666666666,0.24242424242424243,0.10297793849075901,0.09275606691793957,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,mean_pair,high_or_never,all_seeds,341,167,0.023952095808383235,0.9479166666666667,0.9647239263803681,0.4434782608695652,0.8562874251497006,1.0,0.147239263803681,0.03018941708419895,0.025023833706156885,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,mean_pair,high_or_never,initially_failing,71,36,0.1111111111111111,1.3958333333333335,0.8203125,0.4434782608695652,0.6944444444444444,0.75,0.3125,0.14176813956461393,0.1382662170204324,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,worst_pair,never_repaired,all_seeds,341,167,0.059880239520958084,1.25,0.9015923566878981,0.3441479598083371,0.8383233532934131,0.8,0.1592356687898089,0.04921321065954876,0.05656244549454253,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,worst_pair,never_repaired,initially_failing,111,53,0.18867924528301888,1.40625,0.6406976744186047,0.3441479598083371,0.5849056603773585,0.5,0.3953488372093023,0.149287809703036,0.1551546447007946,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,worst_pair,high_or_never,all_seeds,341,167,0.07784431137724551,1.0,0.8848651348651349,0.33876140596024484,0.8023952095808383,0.9230769230769231,0.2077922077922078,0.06547555776021921,0.0723993658351978,one fixed manifest split; threshold and bins fit on fit+dev only
phi-4-mini-instruct,worst_pair,high_or_never,initially_failing,111,53,0.24528301886792453,1.375,0.5567307692307693,0.33876140596024484,0.49056603773584906,0.46153846153846156,0.5,0.19334424413262516,0.19002378206865714,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,mean_pair,never_repaired,all_seeds,341,167,0.20958083832335328,1.0,0.9235930735930736,0.7119536217402346,0.8383233532934131,0.9714285714285714,0.19696969696969696,0.10118004581191406,0.16678753671611204,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,mean_pair,never_repaired,initially_failing,144,72,0.4861111111111111,1.5570312499999999,0.7274131274131274,0.7119536217402346,0.6527777777777778,0.6,0.2972972972972973,0.22178293879977679,0.2546296296296296,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,mean_pair,high_or_never,all_seeds,341,167,0.2215568862275449,1.0,0.9307692307692308,0.7353923271759812,0.8502994011976048,0.972972972972973,0.18461538461538463,0.09277242210727195,0.1724901175023728,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,mean_pair,high_or_never,initially_failing,144,72,0.5138888888888888,1.807291666666667,0.7428571428571429,0.7353923271759815,0.6388888888888888,0.5135135135135135,0.22857142857142856,0.21374190778174132,0.24980709876543206,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,worst_pair,never_repaired,all_seeds,341,167,0.2754491017964072,1.125,0.9260689902982393,0.7891619973056561,0.8083832335329342,0.8913043478260869,0.2231404958677686,0.10883345340223555,0.19958430246944123,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,worst_pair,never_repaired,initially_failing,190,87,0.5287356321839081,1.5625,0.781813361611877,0.7891619973056561,0.7586206896551724,0.8478260869565217,0.34146341463414637,0.2136843120701215,0.25071576400165574,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,worst_pair,high_or_never,all_seeds,341,167,0.30538922155688625,1.125,0.9331473968897903,0.8261683076540267,0.8263473053892215,0.8823529411764706,0.19827586206896552,0.10818264030200282,0.2121564698193675,one fixed manifest split; threshold and bins fit on fit+dev only
qwen2.5-7b-instruct,worst_pair,high_or_never,initially_failing,190,87,0.5862068965517241,1.5625,0.7845860566448801,0.8261683076540267,0.7931034482758621,0.8431372549019608,0.2777777777777778,0.20428622786062994,0.24336994937434328,one fixed manifest split; threshold and bins fit on fit+dev only
