split,seed_source,seed_category,n_seeds
dev,bbq,age,5
dev,bbq,disability,5
dev,bbq,gender,5
dev,bbq,nationality,5
dev,bbq,physical_appearance,5
dev,bbq,race,5
dev,bbq,religion,5
dev,bbq,sexual_orientation,5
dev,bbq,socioeconomic,5
dev,crows_pairs,age,4
dev,crows_pairs,disability,4
dev,crows_pairs,gender,3
dev,crows_pairs,nationality,3
dev,crows_pairs,physical_appearance,3
dev,crows_pairs,race,4
dev,crows_pairs,religion,4
dev,crows_pairs,sexual_orientation,4
dev,crows_pairs,socioeconomic,4
dev,stereoset,gender,8
dev,stereoset,profession,5
dev,stereoset,race,8
dev,stereoset,religion,9
fit,bbq,age,13
fit,bbq,disability,13
fit,bbq,gender,14
fit,bbq,nationality,14
fit,bbq,physical_appearance,14
fit,bbq,race,14
fit,bbq,religion,14
fit,bbq,sexual_orientation,13
fit,bbq,socioeconomic,14
fit,crows_pairs,age,10
fit,crows_pairs,disability,11
fit,crows_pairs,gender,9
fit,crows_pairs,nationality,9
fit,crows_pairs,physical_appearance,9
fit,crows_pairs,race,10
fit,crows_pairs,religion,10
fit,crows_pairs,sexual_orientation,10
fit,crows_pairs,socioeconomic,10
fit,stereoset,gender,22
fit,stereoset,profession,13
fit,stereoset,race,22
fit,stereoset,religion,23
test,bbq,age,9
test,bbq,disability,9
test,bbq,gender,9
test,bbq,nationality,10
test,bbq,physical_appearance,10
test,bbq,race,10
test,bbq,religion,10
test,bbq,sexual_orientation,9
test,bbq,socioeconomic,10
test,crows_pairs,age,7
test,crows_pairs,disability,7
test,crows_pairs,gender,7
test,crows_pairs,nationality,7
test,crows_pairs,physical_appearance,7
test,crows_pairs,race,6
test,crows_pairs,religion,6
test,crows_pairs,sexual_orientation,6
test,crows_pairs,socioeconomic,7
test,stereoset,gender,14
test,stereoset,profession,9
test,stereoset,race,14
test,stereoset,religion,14
