layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,5,0.003713645040988922,0,1,[991]
1,5,0.004689375404268503,0,1,[991]
2,5,0.002568089636042714,0,1,[991]
3,5,0.009702449664473534,0,1,[991]
4,5,0.015944279730319977,0,1,[3008]
5,5,0.02627771534025669,0,1,[3008]
6,5,0.07516445219516754,1,1,[4055]
7,5,0.09339351952075958,1,1,[4055]
8,5,0.07944083213806152,1,1,[4055]
9,5,0.08282018452882767,1,1,[4055]
10,5,0.05208849161863327,1,1,[4055]
11,5,0.09530573338270187,1,1,[4055]
12,5,0.15481576323509216,1,1,[4055]
13,5,0.1584862470626831,1,1,[4055]
14,5,0.16447465121746063,1,1,[4055]
15,5,0.28889545798301697,1,1,[4055]
16,5,0.2066987156867981,1,1,[4055]
17,5,0.15675511956214905,1,1,[4055]
18,5,0.2225753366947174,1,1,[4055]
19,5,0.20793688297271729,1,1,[4055]
20,5,0.24153493344783783,1,1,[4055]
21,5,0.15676987171173096,1,1,[4055]
22,5,0.11214739084243774,1,1,[4055]
23,5,0.07186034321784973,1,1,[2352]
24,5,0.0725231021642685,1,1,[2352]
25,5,0.05423963814973831,1,1,[2352]
26,5,0.07267236709594727,1,1,[2352]
27,5,0.0720360279083252,1,1,[2352]
28,5,0.048388395458459854,1,1,[2352]
29,5,0.10305145382881165,1,1,[2352]
30,5,0.06988435238599777,1,1,[2352]
31,5,0.003947417251765728,0,1,[2720]
