layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,5,0.10521602630615234,0,1,[2800]
1,5,0.9719118475914001,1,1,[2331]
2,5,0.9442488551139832,1,1,[2331]
3,5,0.10099199414253235,0,1,[1617]
4,5,0.08013615757226944,0,1,[1617]
5,5,0.13330823183059692,0,1,[1617]
6,5,0.21390439569950104,1,1,[2833]
7,5,0.3435148298740387,1,1,[2331]
8,5,0.2527426779270172,1,1,[2331]
9,5,0.30237188935279846,1,1,[2331]
10,5,0.2613029479980469,1,1,[2833]
11,5,0.2829435467720032,1,1,[2833]
12,5,0.3072154223918915,1,1,[2331]
13,5,0.2675889730453491,1,1,[2833]
14,5,0.20763185620307922,1,1,[2833]
15,5,0.22035755217075348,1,1,[2833]
16,5,0.23952749371528625,1,1,[2833]
17,5,0.20323900878429413,1,1,[2833]
18,5,0.21971167623996735,1,1,[546]
19,5,0.18731281161308289,1,1,[546]
20,5,0.12387901544570923,1,1,[2833]
21,5,0.10793440043926239,1,1,[546]
22,5,0.05255609378218651,0,1,[1776]
23,5,0.03922353684902191,0,1,[1776]
24,5,0.03986620530486107,1,1,[546]
25,5,0.03386811167001724,1,1,[546]
26,5,0.02847624383866787,0,1,[1776]
27,5,0.026899639517068863,1,1,[546]
28,5,0.022485457360744476,1,1,[546]
29,5,0.023440103977918625,1,1,[719]
30,5,0.020479215309023857,1,1,[719]
31,5,0.0389205701649189,0,1,[2795]
