layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
0,243,1,24.67004971590909,26.47648138050644,0.05881180108019557,23.47676785689995,False,True,True,2304,0.5,50.0
0,535,2,22.154963474025976,23.777231284928252,0.13365908901465992,352.017364894317,False,True,True,2304,0.5,50.0
0,1570,3,10.326234611742423,11.082359443006276,0.09981183304356395,33.94069867311821,False,False,True,2304,0.5,50.0
0,881,4,7.714318153634561,8.279188867069607,0.09628592317419697,8.38455994889284,False,False,True,2304,0.5,50.0
0,540,5,7.375719628272121,7.915796913852571,0.14116689994185533,2.5992135841567805,False,True,True,2304,0.5,50.0
1,1002,1,32.037901898448766,34.88383958251147,0.05291831022545749,32.664910167729026,False,True,True,2304,0.5,50.0
1,535,2,27.735508545274172,30.199263169588722,0.1654388172444444,535.704526750756,False,True,True,2304,0.5,50.0
1,1570,3,13.55280404491342,14.756704221597715,0.07461936789507795,44.642043895896336,False,False,True,2304,0.5,50.0
1,243,4,7.786543349228897,8.478224633989662,0.20084692915046273,3.9299970045548984,False,False,True,2304,0.5,50.0
1,540,5,5.973565331220971,6.504199164179784,0.14521100031518494,0.595454091599227,False,True,True,2304,0.5,50.0
2,535,1,27.482303447420634,32.33480497375164,0.158536756293409,687.1158431388066,False,True,True,2304,0.5,50.0
2,1570,2,16.08731863839286,18.92782792818826,0.07961228464478379,52.35728599259741,False,False,True,2304,0.5,50.0
2,153,3,13.737194249977446,16.16274624903222,0.08877470306616252,16.104277573565778,False,False,True,2304,0.5,50.0
2,1068,4,7.3738681210824755,8.675858923308137,0.18884874498195667,62.65225795743398,False,True,True,2304,0.5,50.0
2,1645,5,6.958025064399576,8.186591196414149,0.19824741174171348,2.0681863322216323,False,False,True,2304,0.5,50.0
3,535,1,34.199797528860024,40.46150692143485,0.11059591485255509,847.0938733277645,False,True,True,2304,0.5,50.0
3,1570,2,17.967071158008658,21.256698183789272,0.0736347137392495,62.11233009735704,False,False,True,2304,0.5,50.0
3,629,3,15.963019705988458,18.885720939599437,0.04277401323038914,7.80101288722758,False,False,True,2304,0.5,50.0
3,334,4,11.050760973645495,13.074066922324945,0.1842248229385541,411.7160166453381,False,False,True,2304,0.5,50.0
3,1002,5,9.342221644457972,11.052707707109471,0.19644614321783366,18.559755779091212,False,True,True,2304,0.5,50.0
4,535,1,34.309025297619044,37.65052798985052,0.13347289846334248,948.148654794001,False,True,True,2304,0.5,50.0
