model_name,target,predictor,decline_frac,coverage,n_declined,adverse_avoided_frac,loss_remaining_rate,precision_declined,suppression_coverage
llama-3.1-8b-instruct,new_error,2_baseline,0.0,1.0,0,0.0,0.041666666666666664,,1.0
llama-3.1-8b-instruct,new_error,2_baseline,0.05,0.95,13,0.18181818181818182,0.03409090909090909,0.15384615384615385,0.75
llama-3.1-8b-instruct,new_error,2_baseline,0.1,0.9,26,0.18181818181818182,0.03409090909090909,0.07692307692307693,0.5
llama-3.1-8b-instruct,new_error,2_baseline,0.15,0.85,40,0.2727272727272727,0.030303030303030304,0.075,0.5
llama-3.1-8b-instruct,new_error,2_baseline,0.2,0.8,53,0.45454545454545453,0.022727272727272728,0.09433962264150944,0.5
llama-3.1-8b-instruct,new_error,2_baseline,0.25,0.75,66,0.45454545454545453,0.022727272727272728,0.07575757575757576,0.5
llama-3.1-8b-instruct,new_error,2_baseline,0.3,0.7,79,0.45454545454545453,0.022727272727272728,0.06329113924050633,0.5
llama-3.1-8b-instruct,new_error,2_baseline,0.35,0.65,92,0.45454545454545453,0.022727272727272728,0.05434782608695652,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.4,0.6,106,0.5454545454545454,0.01893939393939394,0.05660377358490566,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.45,0.55,119,0.6363636363636364,0.015151515151515152,0.058823529411764705,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.5,0.5,132,0.7272727272727273,0.011363636363636364,0.06060606060606061,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.55,0.44999999999999996,145,0.8181818181818182,0.007575757575757576,0.06206896551724138,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.6,0.4,158,0.8181818181818182,0.007575757575757576,0.056962025316455694,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.65,0.35,172,0.9090909090909091,0.003787878787878788,0.05813953488372093,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.7,0.30000000000000004,185,0.9090909090909091,0.003787878787878788,0.05405405405405406,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.75,0.25,198,0.9090909090909091,0.003787878787878788,0.050505050505050504,0.0
llama-3.1-8b-instruct,new_error,2_baseline,0.8,0.19999999999999996,211,0.9090909090909091,0.003787878787878788,0.04739336492890995,0.0
