model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
llama-3.1-8b-instruct,dev,depth,unedited,60,60,115,0.13581695556640624,0.10247815450032552,0.17577796936035153,0.0,0.0,0.0,0.3217391304347826,0.20869565217391303,0.43859649122807015,-0.0,-0.0,-0.0,115,0.37121512286120456,-0.0,-0.0,-0.0,,,0.0,0.5793910582860311,,,,,,,,,0,,none
llama-3.1-8b-instruct,dev,depth,full_frozen,60,60,115,0.12684224446614584,0.09755968729654949,0.1610989634195963,-0.008974711100260416,-0.039691810607910154,0.02508937835693355,0.46956521739130436,0.35331742610837436,0.5877192982456141,-0.14782608695652175,-0.22413793103448276,-0.07894736842105263,115,0.47513403649775765,-0.10391891363655309,-0.14696448877745183,-0.06367383772259093,0.008510528629498101,0.006100380745884298,1.0,2.5759695569674173,0.0,0.0,13.0,0.8666666666666667,8.0,0.16666666666666666,12.0,0.7333333333333333,32,1.0,frozen
llama-3.1-8b-instruct,dev,depth,early_frozen,60,60,115,0.1213226318359375,0.09405138651529948,0.15156702677408854,-0.01449432373046875,-0.04549742380777995,0.014316469828287758,0.4260869565217391,0.30695080091533183,0.543859649122807,-0.10434782608695652,-0.16666666666666666,-0.05172413793103448,115,0.4315392347479925,-0.06032411188678785,-0.09413916287318187,-0.030195846098540403,0.007449282921388088,0.010284443905855829,1.0,0.8229687293370564,0.0,0.0,13.0,0.8666666666666667,8.0,0.2,,,11,1.0,frozen
llama-3.1-8b-instruct,dev,depth,middle_frozen,60,60,115,0.124761962890625,0.09251263936360678,0.16091603597005205,-0.01105499267578125,-0.02846397399902344,0.005310160319010413,0.41739130434782606,0.2956521739130435,0.543859649122807,-0.09565217391304348,-0.16379310344827586,-0.04291081782117792,115,0.41975620075723,-0.048541077896025464,-0.08112604480757624,-0.021930427291821295,0.009646825314529844,0.015897161354873065,1.0,0.8213984807332356,11.0,0.0,,1.0,15.0,0.3333333333333333,,,11,1.0,frozen
llama-3.1-8b-instruct,dev,depth,late_frozen,60,60,115,0.13238321940104167,0.09666056315104167,0.17623148600260416,-0.0034337361653645833,-0.016050771077473956,0.009448738098144524,0.3391304347826087,0.22608695652173913,0.4609706331044998,-0.017391304347826087,-0.043859649122807015,-0.0,115,0.3801454410304496,-0.00893031816924507,-0.016778044396155076,-0.0024709940984800048,0.015249188771966064,0.016371149019013334,1.0,0.8145531455675761,22.0,0.0,,1.0,31.0,0.9333333333333333,,,10,1.0,frozen
llama-3.1-8b-instruct,dev,depth,full_sequential,60,60,115,0.10268147786458333,0.08074350992838542,0.12736419677734373,-0.033135477701822916,-0.062216300964355466,-0.003931312561035161,0.3652173913043478,0.25217391304347825,0.4912318511796733,-0.043478260869565216,-0.10344827586206896,0.008695652173913044,115,0.3866718619587353,-0.015456739097530757,-0.038443383308778,0.010618823380384916,0.01946500817168885,0.01648194810957354,1.0,2.3189361333847045,1.0,0.0,13.0,0.8833333333333333,8.0,0.11666666666666667,10.0,0.8666666666666667,32,1.0,sequential
llama-3.1-8b-instruct,test,depth,unedited,160,160,316,0.15823893547058104,0.12944507598876953,0.190640389919281,0.0,0.0,0.0,0.2626582278481013,0.19936708860759494,0.33121069340352427,-0.0,-0.0,-0.0,316,0.337085647065789,-0.0,-0.0,-0.0,,,0.0,0.5802764371037483,,,,,,,,,0,,none
llama-3.1-8b-instruct,test,depth,full_frozen,160,160,316,0.11380391120910645,0.09757337927818298,0.13130974531173703,-0.04443502426147461,-0.0719029712677002,-0.018525450229644778,0.41455696202531644,0.3458875686649152,0.48742138364779874,-0.1518987341772152,-0.20320530098831968,-0.10475361663652803,316,0.4210896855550266,-0.08400403848923761,-0.10892314969024297,-0.06132330918894202,0.009552936748734125,0.006184695871281617,1.0,2.612720376253128,0.0,0.0,13.0,0.86875,8.0,0.2125,12.0,0.78125,32,1.0,frozen
llama-3.1-8b-instruct,test,depth,early_frozen,160,160,316,0.11346626281738281,0.09598682403564454,0.1331226062774658,-0.044772672653198245,-0.07364404678344727,-0.018372267484664938,0.33544303797468356,0.26897192340356696,0.40822784810126583,-0.07278481012658228,-0.1111111111111111,-0.03785488958990536,316,0.3779648124712685,-0.040879165405479555,-0.05869763155344819,-0.025373294686742785,0.00756830828492743,0.010083528951089746,1.0,0.8353767231106758,0.0,0.0,13.0,0.88125,7.0,0.2625,,,11,1.0,frozen
llama-3.1-8b-instruct,test,depth,middle_frozen,160,160,316,0.15703887939453126,0.129737491607666,0.18625566482543943,-0.0012000560760498046,-0.013534669876098632,0.01133807301521301,0.34177215189873417,0.2721518987341772,0.4158862851134144,-0.07911392405063292,-0.11861242138364766,-0.04416403785488959,316,0.3733825796997964,-0.036296932634007385,-0.0515365682829357,-0.022880821668555505,0.010325666001064517,0.017467448358936304,1.0,0.828262360394001,11.0,0.0,,1.0,15.0,0.3875,,,11,1.0,frozen
