model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
phi-4-mini-instruct,dev,depth,unedited,60,60,117,0.4166666666666667,0.328125,0.512552083333333,0.0,0.0,0.0,0.5897435897435898,0.4745762711864407,0.7008547008547008,-0.0,-0.0,-0.0,117,0.5601737971890731,-0.0,-0.0,-0.0,,,0.0,0.35691309372584024,,,,,,,,,0,,none
phi-4-mini-instruct,dev,depth,full_frozen,60,60,117,0.271875,0.21666666666666667,0.32708333333333334,-0.14479166666666668,-0.22815104166666667,-0.06559895833333348,0.7094017094017094,0.5948275862068966,0.8205128205128205,-0.11965811965811966,-0.211864406779661,-0.02564102564102564,117,0.67703030690528,-0.11685650971620688,-0.17119949329767328,-0.06725263324674934,0.040543146898071244,0.02200868555680542,1.0,1.549811311562856,0.0,0.0,16.0,0.5,7.0,0.13333333333333333,8.0,0.38333333333333336,32,1.0,frozen
phi-4-mini-instruct,dev,depth,early_frozen,60,60,117,0.2604166666666667,0.20625,0.3145833333333333,-0.15625,-0.23752604166666666,-0.078125,0.6837606837606838,0.5713972431077694,0.7863247863247863,-0.09401709401709402,-0.1794871794871795,-0.008695652173913044,117,0.6576579520309211,-0.09748415484184805,-0.1473274670529394,-0.052498446520590394,0.020791338474345635,0.03860835508884045,1.0,0.5474950591723124,0.0,0.0,16.0,0.48333333333333334,7.0,0.15,,,11,1.0,frozen
phi-4-mini-instruct,dev,depth,middle_frozen,60,60,117,0.346875,0.26875,0.42916666666666664,-0.06979166666666667,-0.11979166666666667,-0.015625,0.6923076923076923,0.5811624649859944,0.7931034482758621,-0.10256410256410256,-0.17952586206896531,-0.03389830508474576,117,0.6467812626635,-0.0866074654744268,-0.13228234556230176,-0.045472080776145965,0.01502188537882322,0.01979478058263543,1.0,0.5489349206288655,11.0,0.0,29.0,0.9833333333333333,17.0,0.38333333333333336,,,11,1.0,frozen
phi-4-mini-instruct,dev,depth,late_frozen,60,60,117,0.42083333333333334,0.332265625,0.5166927083333333,0.004166666666666667,-0.028151041666666664,0.03333333333333333,0.6239316239316239,0.5130379041248607,0.7304512239678479,-0.03418803418803419,-0.06896551724137931,-0.00847457627118644,117,0.575159482701146,-0.014985685512072867,-0.022853663245415944,-0.008245347010584578,0.052846291327338236,0.03163356950641805,1.0,0.5431203881899516,22.0,0.0,,1.0,,1.0,,,10,1.0,frozen
phi-4-mini-instruct,dev,depth,full_sequential,60,60,117,0.28020833333333334,0.22604166666666667,0.340625,-0.13645833333333332,-0.22291666666666668,-0.05416666666666667,0.7094017094017094,0.5966386554621849,0.8136150758251559,-0.11965811965811966,-0.20175438596491227,-0.042735042735042736,117,0.6574045199329401,-0.09723072274386702,-0.1361304940902755,-0.061167372183294516,0.03621148379303756,0.03851741162219538,1.0,1.3954466740290323,0.0,0.0,16.0,0.55,8.0,0.11666666666666667,8.0,0.35,32,1.0,sequential
phi-4-mini-instruct,test,depth,unedited,160,160,317,0.408203125,0.350390625,0.473046875,0.0,0.0,0.0,0.6309148264984227,0.5628930817610063,0.6959247648902821,-0.0,-0.0,-0.0,317,0.5722755696307497,-0.0,-0.0,-0.0,,,0.0,0.37485760599374773,,,,,,,,,0,,none
phi-4-mini-instruct,test,depth,full_frozen,160,160,317,0.2953125,0.251943359375,0.3453125,-0.112890625,-0.16329101562499998,-0.05936523437500005,0.7287066246056783,0.6687245407348242,0.7911557121750588,-0.09779179810725552,-0.14733542319749215,-0.05362354423347816,317,0.6752557213476547,-0.1029801517169051,-0.13576142149370546,-0.07461503155270885,0.040321751329465604,0.022033021218521593,1.0,1.6055541902780532,0.0,0.0,16.0,0.55625,7.0,0.14375,8.0,0.44375,32,1.0,frozen
phi-4-mini-instruct,test,depth,early_frozen,160,160,317,0.286328125,0.240224609375,0.3382910156249999,-0.121875,-0.169921875,-0.06953125,0.722397476340694,0.661367028898973,0.7830188679245284,-0.0914826498422713,-0.13751077586206892,-0.0474646108693048,317,0.6605101575961045,-0.08823458796535501,-0.1172092504330253,-0.0623695325941799,0.023437501998167964,0.03758171317085277,1.0,0.5698103547096253,0.0,0.0,16.0,0.56875,7.0,0.15625,,,11,1.0,frozen
phi-4-mini-instruct,test,depth,middle_frozen,160,160,317,0.393359375,0.341015625,0.45313476562499994,-0.01484375,-0.04375,0.014462890624999947,0.6908517350157729,0.625,0.7563291139240507,-0.05993690851735016,-0.09841269841269841,-0.025157232704402517,317,0.655061035457588,-0.08278546582683838,-0.10849056272671596,-0.060330657082698934,0.014045300913355522,0.020268139699635385,1.0,0.5727472469210625,11.0,0.0,18.0,0.98125,17.0,0.3375,,,11,1.0,frozen
phi-4-mini-instruct,test,depth,late_frozen,160,160,317,0.3984375,0.33984375,0.46017578124999986,-0.009765625,-0.028125,0.008984375,0.6403785488958991,0.5727848101265823,0.7034877823648147,-0.00946372239747634,-0.02857142857142857,0.009434706267484078,317,0.5800753982378359,-0.007799828607086392,-0.012715842329005573,-0.0035640228041772066,0.05288450127080184,0.03149561070122585,1.0,0.5669941484928132,22.0,0.0,,1.0,,1.0,,,10,1.0,frozen
phi-4-mini-instruct,test,depth,full_sequential,160,160,317,0.294140625,0.251171875,0.34375,-0.1140625,-0.162119140625,-0.0671875,0.7066246056782335,0.6435106256736846,0.7672955974842768,-0.07570977917981073,-0.11598746081504702,-0.03773584905660377,317,0.6534468606238545,-0.08117129099310483,-0.10443683226950252,-0.059399079043075585,0.038380576794020335,0.039031135980569495,1.0,1.45137407630682,0.0,0.0,17.0,0.56875,7.5,0.1,8.0,0.41875,32,1.0,sequential
