layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,2,0.005486625246703625,0,1,[1068]
1,2,0.031800273805856705,1,1,[1002]
2,2,0.007748662494122982,0,1,[1068]
3,2,0.06765397638082504,1,1,[535]
4,2,0.024395423009991646,0,1,[1807]
5,2,0.0696776881814003,0,1,[1807]
6,2,0.0002813113678712398,0,1,[1807]
7,2,0.006191273219883442,0,1,[1807]
8,2,0.01582277938723564,0,1,[1807]
9,2,0.006219637114554644,0,1,[1807]
10,2,0.0013258915860205889,0,1,[1807]
11,2,0.002902305917814374,0,1,[1807]
12,2,0.00498148612678051,0,1,[1807]
13,2,0.005869446787983179,0,1,[1807]
14,2,0.0014432499883696437,0,1,[1807]
15,2,0.04528789967298508,0,1,[1807]
16,2,0.07259462028741837,1,1,[334]
17,2,0.1532009243965149,1,1,[334]
18,2,0.209140807390213,1,1,[334]
19,2,0.19334448873996735,1,1,[334]
20,2,0.11398850381374359,1,1,[334]
21,2,0.25536882877349854,1,1,[334]
22,2,0.16270874440670013,1,1,[334]
23,2,0.19042468070983887,1,1,[334]
24,2,0.22805222868919373,1,1,[1393]
25,2,0.1366989016532898,0,1,[976]
