layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
0,243,1,24.68539299242424,26.488796343929355,0.05870847557391208,23.473088729082868,False,False,True,2304,0.5,50.0
0,535,2,22.16426497113997,23.783486092912998,0.1334126463607932,351.96219900064824,False,True,True,2304,0.5,50.0
1,1002,1,32.025171469155836,34.86656751583941,0.05318072864791007,32.661715066306684,False,True,True,2304,0.5,50.0
1,535,2,27.737076118326115,30.19801589830758,0.16553046683692668,535.6521270874297,False,True,True,2304,0.5,50.0
2,535,1,27.501822465728715,32.3476985006538,0.15921087814243545,686.90196614871,False,True,True,2304,0.5,50.0
2,1570,2,16.073722351866884,18.905944326756558,0.07931146253639784,52.34098885893423,False,False,True,2304,0.5,50.0
3,535,1,34.23374402507214,40.48743974109598,0.11114298192222642,846.7962730980792,False,True,True,2304,0.5,50.0
3,1570,2,17.95556536345598,21.235622669194807,0.07335329872226311,62.0905088514653,False,False,True,2304,0.5,50.0
4,535,1,34.35588575487013,37.6933603535094,0.13362207915423083,947.9325777771737,False,True,True,2304,0.5,50.0
4,1570,2,18.894650100333696,20.73015552755446,0.08236162539575885,73.50866054522065,False,False,True,2304,0.5,50.0
5,535,1,36.45248387896825,36.37413864843471,0.09844234371713435,985.8765483300357,False,True,True,2304,0.5,50.0
5,334,2,21.815471173791483,21.768584434221598,0.20710665022318117,646.6072908075538,False,True,True,2304,0.5,50.0
6,334,1,51.55960351280663,50.57428986894729,0.1344085656879957,831.7945617680092,True,True,True,2304,0.5,50.0
6,1570,2,20.497484294676674,20.10577354509108,0.10372901946790394,83.37563413948206,False,False,True,2304,0.5,50.0
7,334,1,73.77863940746752,61.802615945376516,0.11983742665059702,918.0931990632072,True,True,True,2296,0.5,50.0
7,1570,2,23.082385532219522,19.335566765771635,0.11825205716105583,81.25459882219991,False,False,True,2296,0.5,50.0
8,334,1,84.01834021013708,67.73637482941267,0.11519269601293951,1031.9480195014287,True,True,True,2300,0.5,50.0
8,1570,2,25.00824193384741,20.16187948034876,0.12391709225977303,84.24888127960884,False,False,True,2300,0.5,50.0
9,334,1,102.26740643037519,70.8159055364256,0.09577477904940146,1052.5364842282331,True,True,True,2300,0.5,50.0
9,1570,2,27.55463273922259,19.080431754961523,0.12890443090850068,79.97892363707956,False,False,True,2300,0.5,50.0
10,334,1,120.18017699314575,74.20420378410653,0.09932806326634602,1052.1199619745028,True,True,True,2303,0.5,50.0
10,1570,2,29.3370020869972,18.113876479000822,0.13444611444470114,76.2539995914619,False,False,True,2303,0.5,50.0
