model_name,phase,scope,x,y,spearman,lo,hi,n,n_seeds
llama-3.1-8b-instruct,dev,all_edited_conditions,energy_total_A,p_gold_loss_A,-0.19999999999999998,-1.0,0.5,9,3
llama-3.1-8b-instruct,dev,all_edited_conditions,energy_total_A,acc_loss_A,,,,9,3
llama-3.1-8b-instruct,dev,all_edited_conditions,energy_total_A,absC_change,-0.25104822262671694,-0.5,0.5,9,3
llama-3.1-8b-instruct,dev,targeted_only,energy_total_A,p_gold_loss_A,-0.028571428571428574,-1.0,1.0,6,3
llama-3.1-8b-instruct,dev,targeted_only,energy_total_A,acc_loss_A,,,,6,3
llama-3.1-8b-instruct,dev,targeted_only,energy_total_A,absC_change,-0.028571428571428574,-1.0,1.0,6,3
llama-3.1-8b-instruct,dev,random_only,energy_total_A,p_gold_loss_A,,,,3,3
llama-3.1-8b-instruct,dev,random_only,energy_total_A,acc_loss_A,,,,3,3
llama-3.1-8b-instruct,dev,random_only,energy_total_A,absC_change,,,,3,3
llama-3.1-8b-instruct,test,all_edited_conditions,energy_total_A,p_gold_loss_A,0.2571428571428572,-0.5000000000000001,0.5000000000000001,6,2
llama-3.1-8b-instruct,test,all_edited_conditions,energy_total_A,acc_loss_A,,,,6,2
llama-3.1-8b-instruct,test,all_edited_conditions,energy_total_A,absC_change,0.14285714285714288,-1.0,0.5000000000000001,6,2
llama-3.1-8b-instruct,test,targeted_only,energy_total_A,p_gold_loss_A,0.39999999999999997,-1.0,1.0,4,2
llama-3.1-8b-instruct,test,targeted_only,energy_total_A,acc_loss_A,,,,4,2
llama-3.1-8b-instruct,test,targeted_only,energy_total_A,absC_change,0.39999999999999997,-1.0,1.0,4,2
llama-3.1-8b-instruct,test,random_only,energy_total_A,p_gold_loss_A,,,,2,2
llama-3.1-8b-instruct,test,random_only,energy_total_A,acc_loss_A,,,,2,2
llama-3.1-8b-instruct,test,random_only,energy_total_A,absC_change,,,,2,2
