layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
0,291,1,0.1489546046943508,14.617606040398657,0.07952330732052841,249.93665325441447,False,True,True,4096,0.5,50.0
0,4055,2,0.14547061462436214,14.275705940054284,0.09587488076707526,9.248039508838572,False,False,True,4096,0.5,50.0
1,4055,1,0.2524936860556978,16.88383552823632,0.14034112711386704,902.7226905820952,False,True,True,4096,0.5,50.0
1,291,2,0.16214050607578595,10.842067696079708,0.13730420728788098,493.1540624476261,False,False,True,4096,0.5,50.0
2,4055,1,0.49904258007346397,22.0697828699873,0.13311904768980526,583.2072717224106,False,True,True,4096,0.5,50.0
2,291,2,0.22296881619086215,9.860628244159116,0.13393936329516698,319.2437909191394,False,False,True,4096,0.5,50.0
3,4055,1,0.6774375923149116,20.608740437900288,0.18292513258130427,387.87549371940105,False,True,True,4096,0.5,50.0
3,2485,2,0.3002038545171327,9.132683787239223,0.10423058265985322,86.98678351795391,False,False,True,4096,0.5,50.0
4,4055,1,1.1274947414510403,27.659280856037256,0.17281565451024514,303.5788886722042,False,True,True,4092,0.5,50.0
4,2485,2,0.42974293521961976,10.54229355060228,0.11133904511934474,69.76181532618834,False,False,True,4092,0.5,50.0
5,4055,1,1.2255422435366286,25.45612469509652,0.21253069901703306,247.95757971653498,False,True,True,4095,0.5,50.0
5,2485,2,0.5402700112252113,11.22211890067674,0.12011772865814585,57.77022145228171,False,False,True,4095,0.5,50.0
6,4055,1,1.5427515431616992,28.153385029599438,0.21553889965110115,208.72080323195215,False,True,True,4094,0.5,50.0
6,2485,2,0.6393094737564953,11.66663928972698,0.12229712602338773,48.758548295988824,False,False,True,4094,0.5,50.0
7,4055,1,1.9614626914968718,30.778323091201827,0.17030396194302735,164.76091737997484,False,True,True,4094,0.5,50.0
7,2485,2,0.8076383071951918,12.673069371875213,0.11335613418687694,40.209509598684335,False,False,True,4094,0.5,50.0
8,4055,1,2.498380279117585,37.11509483537895,0.13399629935153873,151.34206421488787,False,True,True,4094,0.5,50.0
8,290,2,0.8901876373409578,13.224327320123146,0.10048720009856538,564.5151843107474,False,False,True,4094,0.5,50.0
9,4055,1,2.8089860605973875,40.140270259883856,0.14246435072624505,144.68574340126506,False,True,True,4094,0.5,50.0
9,290,2,1.0023521492613292,14.32356206081296,0.09883399617753551,543.0180986911677,False,False,True,4094,0.5,50.0
10,4055,1,2.5473439207277098,35.58468444657141,0.13777981238494255,140.56636967235005,False,True,True,4094,0.5,50.0
10,290,2,1.0212368946158008,14.26599382376223,0.10127059309565162,534.3268213632188,False,False,True,4094,0.5,50.0
11,4055,1,2.6649455446354864,36.12509869193733,0.13227006040631598,130.4732382280089,False,True,True,4093,0.5,50.0
11,2485,2,1.1213900723300139,15.201183797780578,0.13068813481856187,30.92385191767744,False,False,True,4093,0.5,50.0
12,4055,1,3.8985197788322794,50.822181839537095,0.10383950013117217,115.69695407855373,True,True,True,4095,0.5,50.0
12,2485,2,1.3407944488779449,17.478967186547756,0.12571240883328988,29.3316221607601,False,False,True,4095,0.5,50.0
13,4055,1,3.979261326780859,48.97858994166813,0.09709271230071348,106.92977042110073,False,True,True,4094,0.5,50.0
13,2485,2,1.4419552512374778,17.748252543576875,0.12553624229100796,27.50172152916799,False,False,True,4094,0.5,50.0
14,4055,1,4.350253970205142,49.15297815386123,0.0929775853914591,93.9219028825354,False,True,True,4093,0.5,50.0
14,290,2,1.5447968594990082,17.45446744193823,0.0867024249797758,432.18198920384714,False,False,True,4093,0.5,50.0
15,4055,1,4.822106356100497,47.504198158416386,0.10731904727236319,80.65782745127164,False,True,True,4092,0.5,50.0
15,290,2,1.607866326923944,15.839634169372994,0.09079077359241071,374.3508327509401,False,False,True,4092,0.5,50.0
16,4055,1,5.243584817959818,45.8283093241131,0.11686680579878742,64.72974648358469,False,True,True,4088,0.5,50.0
16,290,2,1.813447971299534,15.8493201611328,0.08985038165861618,334.30046285193106,False,False,True,4088,0.5,50.0
17,4055,1,4.877487105992965,37.764313248897615,0.13227039226613357,52.5043416115709,False,True,True,4093,0.5,50.0
17,2352,2,2.4881194716741595,19.26445341363043,0.16953115702387064,296.1535213482156,False,False,True,4093,0.5,50.0
18,4055,1,4.938990358057741,34.54337498590065,0.13347075336033523,42.838344772927364,False,True,True,4092,0.5,50.0
18,2352,2,3.6064437271712664,25.223523230812063,0.15482330882360992,267.52109184726066,False,True,True,4092,0.5,50.0
