model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,first_dev_layer_span_median,first_dev_layer_span_frac_never,first_dev_layer_last_median,first_dev_layer_last_frac_never,first_dev_layer_postspan_median,first_dev_layer_postspan_frac_never,first_margin_dev_cutoff_median,first_margin_dev_cutoff_frac_never,n_layers_edited,prespan_untouched_frac,fitting
phi-4-mini-instruct,dev,depth,unedited,3,3,6,0.5,0.125,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6144083903876543,-0.0,-0.0,-0.0,,,0.0,0.45906639099121094,,,,,,,,,0,,none
phi-4-mini-instruct,dev,depth,full_frozen,3,3,6,0.4583333333333333,0.125,1.0,-0.041666666666666664,-0.25,0.125,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6171667193376574,-0.0027583289500031764,-0.01443139167268768,0.004633169197115206,0.0198643917530132,0.007158852933866071,1.0,1.7564989725748699,0.0,0.0,,1.0,9.0,0.6666666666666666,12.0,0.6666666666666666,32,1.0,frozen
phi-4-mini-instruct,dev,depth,early_frozen,3,3,6,0.5416666666666666,0.375,0.875,0.041666666666666664,-0.125,0.25,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6141174378841906,0.00029095250346369725,-0.009892831942229483,0.0064731751312998576,0.01027683829867773,0.009194217487085128,1.0,0.7568709850311279,0.0,0.0,,1.0,9.0,0.6666666666666666,,,11,1.0,frozen
phi-4-mini-instruct,dev,depth,middle_frozen,3,3,6,0.4583333333333333,0.125,1.0,-0.041666666666666664,-0.125,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6390864274855635,-0.024678037097909278,-0.07406116847415817,0.002126704854403194,0.005080340223561505,0.004554205996458973,1.0,0.7592879136403402,11.0,0.0,,1.0,14.0,0.6666666666666666,,,11,1.0,frozen
phi-4-mini-instruct,dev,depth,late_frozen,3,3,6,0.5833333333333334,0.125,1.25,0.08333333333333333,0.0,0.25,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6225963212275732,-0.008187930839918913,-0.013980708068158793,-0.004195189920106868,0.021911001941621475,0.01024496703493163,1.0,0.7507741451263428,22.0,0.0,,1.0,,1.0,,,10,1.0,frozen
phi-4-mini-instruct,dev,depth,full_sequential,3,3,6,0.4583333333333333,0.125,0.875,-0.041666666666666664,-0.125,0.0,0.6666666666666666,0.0,1.0,-0.0,-0.0,-0.0,6,0.6236257960392154,-0.009217405651561171,-0.019194690819513367,-0.0031321156855338983,0.008238846496090392,0.006142667621675751,1.0,1.478941837946574,0.0,0.0,,1.0,9.0,0.6666666666666666,14.0,0.3333333333333333,32,1.0,sequential
phi-4-mini-instruct,test,depth,unedited,2,2,4,0.1875,0.125,0.25,0.0,0.0,0.0,0.25,0.0,0.5,-0.0,-0.0,-0.0,4,0.43045024932741377,-0.0,-0.0,-0.0,,,0.0,0.7922008037567139,,,,,,,,,0,,none
phi-4-mini-instruct,test,depth,full_frozen,2,2,4,0.4375,0.375,0.5,0.25,0.125,0.375,0.5,0.5,0.5,-0.25,-0.5,-0.0,4,0.43737409763767254,-0.006923848310258796,-0.013694945056196312,-0.00015275156432128107,0.019857866354681578,0.008164538944744427,1.0,1.8752564191818237,1.0,0.0,,1.0,,1.0,,1.0,32,1.0,frozen
phi-4-mini-instruct,test,depth,early_frozen,2,2,4,0.5,0.375,0.625,0.3125,0.125,0.5,0.5,0.5,0.5,-0.25,-0.5,-0.0,4,0.44782310571622164,-0.017372856388807846,-0.034435213599346454,-0.00031049917826923975,0.008251448916387835,0.01160479244161448,1.0,0.8117198944091797,1.0,0.0,,1.0,,1.0,,,11,1.0,frozen
phi-4-mini-instruct,test,depth,middle_frozen,2,2,4,0.3125,0.25,0.375,0.125,0.125,0.125,0.5,0.5,0.5,-0.25,-0.5,-0.0,4,0.4484862600396609,-0.018036010712247138,-0.04684723085866621,0.010775209434171935,0.004424300347335532,0.006114913442859537,1.0,0.7776308059692383,11.0,0.0,,1.0,,1.0,,,11,1.0,frozen
phi-4-mini-instruct,test,depth,late_frozen,2,2,4,0.3125,0.25,0.375,0.125,0.0,0.25,0.5,0.5,0.5,-0.25,-0.5,-0.0,4,0.4392319979582684,-0.008781748630854604,-0.031742117153549965,0.01417861989184076,0.019492492940515544,0.00864761397982497,1.0,0.7696679830551147,22.0,0.0,,1.0,,1.0,,,10,1.0,frozen
phi-4-mini-instruct,test,depth,full_sequential,2,2,4,0.25,0.25,0.25,0.0625,0.0,0.125,0.5,0.5,0.5,-0.25,-0.5,-0.0,4,0.5579550029635589,-0.12750475363614516,-0.25361857216550965,-0.0013909351067806675,0.008830721158260401,0.010278637121465584,1.0,1.5044543743133545,1.0,0.0,,1.0,,1.0,,1.0,32,1.0,sequential
