model_name,phase,scope,x,y,spearman,lo,hi,n,n_seeds
phi-4-mini-instruct,dev,all_edited_conditions,energy_total_A,p_gold_loss_A,0.11666666666666665,-0.5,1.0,9,3
phi-4-mini-instruct,dev,all_edited_conditions,energy_total_A,acc_loss_A,,,,9,3
phi-4-mini-instruct,dev,all_edited_conditions,energy_total_A,absC_change,0.029880715233359844,-0.8660254037844386,0.8660254037844386,9,3
phi-4-mini-instruct,dev,targeted_only,energy_total_A,p_gold_loss_A,0.2571428571428572,-1.0,1.0,6,3
phi-4-mini-instruct,dev,targeted_only,energy_total_A,acc_loss_A,,,,6,3
phi-4-mini-instruct,dev,targeted_only,energy_total_A,absC_change,-0.16903085094570333,-1.0,1.0,6,3
phi-4-mini-instruct,dev,random_only,energy_total_A,p_gold_loss_A,,,,3,3
phi-4-mini-instruct,dev,random_only,energy_total_A,acc_loss_A,,,,3,3
phi-4-mini-instruct,dev,random_only,energy_total_A,absC_change,,,,3,3
phi-4-mini-instruct,test,all_edited_conditions,energy_total_A,p_gold_loss_A,0.5428571428571429,0.5000000000000001,1.0,6,2
phi-4-mini-instruct,test,all_edited_conditions,energy_total_A,acc_loss_A,,,,6,2
phi-4-mini-instruct,test,all_edited_conditions,energy_total_A,absC_change,0.3768511731740915,-0.5000000000000001,0.8660254037844388,6,2
phi-4-mini-instruct,test,targeted_only,energy_total_A,p_gold_loss_A,0.7999999999999999,0.7999999999999999,1.0,4,2
phi-4-mini-instruct,test,targeted_only,energy_total_A,acc_loss_A,,,,4,2
phi-4-mini-instruct,test,targeted_only,energy_total_A,absC_change,0.19999999999999998,-1.0,1.0,4,2
phi-4-mini-instruct,test,random_only,energy_total_A,p_gold_loss_A,,,,2,2
phi-4-mini-instruct,test,random_only,energy_total_A,acc_loss_A,,,,2,2
phi-4-mini-instruct,test,random_only,energy_total_A,absC_change,,,,2,2
