layer,n_coords,basis_mass_fraction_on_coords,peak_coordinate_hits,rank,peak_dims
0,2,0.00033461369457654655,0,1,[1443]
1,2,0.028883840888738632,0,1,[1617]
2,2,0.017750615254044533,0,1,[1617]
3,2,0.047248613089323044,1,1,[2331]
4,2,0.018098266795277596,0,1,[1617]
5,2,0.031563062220811844,0,1,[2800]
6,2,0.012359058484435081,0,1,[2800]
7,2,0.064480260014534,1,1,[2331]
8,2,0.04371388629078865,0,1,[2800]
9,2,0.03572404384613037,0,1,[2800]
10,2,0.04119723290205002,1,1,[546]
11,2,0.032059404999017715,0,1,[2800]
12,2,0.040634624660015106,1,1,[546]
13,2,0.02729530818760395,1,1,[546]
14,2,0.048424772918224335,1,1,[546]
15,2,0.026896655559539795,1,1,[546]
16,2,0.035157207399606705,1,1,[546]
17,2,0.03790220990777016,1,1,[546]
18,2,0.08725865185260773,1,1,[546]
19,2,0.07405321300029755,1,1,[546]
20,2,0.1280066817998886,1,1,[546]
21,2,0.08368552476167679,1,1,[546]
22,2,0.04645216464996338,1,1,[546]
23,2,0.04246240109205246,1,1,[546]
24,2,0.06621258705854416,1,1,[546]
25,2,0.07628218084573746,1,1,[546]
26,2,0.04487452283501625,1,1,[546]
27,2,0.05167388170957565,1,1,[546]
28,2,0.04959535971283913,1,1,[546]
29,2,0.026535894721746445,1,1,[546]
30,2,0.02546423114836216,1,1,[719]
31,2,0.019798241555690765,0,1,[360]
