layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
0,2331,1,7.158627852182539,100.47710983154033,0.05128187834293509,115.97084484982565,True,False,True,3072,0.5,50.0
0,2889,2,3.71816549986472,52.18744863065488,0.09293273738241997,78.4086163103894,True,True,True,3072,0.5,50.0
1,2331,1,12.367254238816741,131.48218113121428,0.14728793673428883,791.6463689857617,True,True,True,3072,0.5,50.0
1,2889,2,7.87364097165855,83.7084342576601,0.221736777203807,453.3660546911072,True,True,True,3072,0.5,50.0
2,2331,1,15.386238867469334,133.34737655649027,0.10654876181403171,686.1831945935868,True,True,True,3072,0.5,50.0
2,2889,2,8.398367886453826,72.78584029932524,0.19797985069646018,389.78325452284895,True,True,True,3072,0.5,50.0
3,2331,1,11.798604459776334,81.0385044863376,0.040051885093394635,3510.137818327027,True,True,True,3072,0.5,50.0
3,546,2,2.2641817096748733,15.551491726238368,0.08835183916864549,1167.813682733691,False,False,True,3072,0.5,50.0
4,2331,1,14.797723777958158,81.95330247977527,0.038259785699984394,2882.0985747822792,True,True,True,3072,0.5,50.0
4,546,2,3.4112540584415583,18.892333704947504,0.07877497664505596,958.2534702184932,False,False,True,3072,0.5,50.0
5,2331,1,16.042085024350648,78.43804128999295,0.03458618401435078,2583.620580162706,True,True,True,3072,0.5,50.0
5,546,2,4.396019288870851,21.494409359422697,0.08576622200405028,860.6771624207804,False,False,True,3072,0.5,50.0
6,2331,1,19.173192809794372,84.0523186614393,0.029742975536678956,2333.9594453194363,True,True,True,3071,0.5,50.0
6,546,2,5.878149294282106,25.768899448511462,0.08736580753526772,780.4341289500239,False,False,True,3071,0.5,50.0
7,2331,1,22.206719877344888,87.48640175568151,0.040912978280101334,2128.979505748733,True,True,True,3070,0.5,50.0
7,546,2,6.766806034677129,26.658755305707732,0.08808687015183862,709.2330413072089,False,False,True,3070,0.5,50.0
8,2331,1,22.900102475649344,82.68224101453254,0.04316845653368843,1965.5899817992045,True,True,True,3071,0.5,50.0
8,546,2,7.5246303999819615,27.16814498704314,0.08721973969674963,653.6019956928748,False,False,True,3071,0.5,50.0
9,2331,1,24.398613591269843,82.00800484756374,0.04326133867324575,1843.2682533443613,True,True,True,3069,0.5,50.0
9,546,2,8.575456884695166,28.823609470244232,0.07704641341864635,611.8178406546451,False,False,True,3069,0.5,50.0
10,2331,1,26.961149440836937,85.2864078803774,0.04212821116869351,1747.4110967153927,True,True,True,3069,0.5,50.0
10,546,2,10.584610643262987,33.4823788784388,0.06402740740048933,578.9643663583179,False,False,True,3069,0.5,50.0
11,2331,1,28.0344208829365,83.93299850615676,0.046852589852726625,1665.8207624060587,True,True,True,3072,0.5,50.0
11,546,2,11.583283561056998,34.679500813884864,0.07115452695383995,550.9573432814072,False,False,True,3072,0.5,50.0
12,2331,1,31.914445909992786,88.13733750810384,0.05268625323799767,1547.6428473438145,True,True,True,3071,0.5,50.0
12,546,2,14.009926609848488,38.69086850382546,0.07094525763721855,510.97897542788957,False,False,True,3071,0.5,50.0
13,2331,1,33.99316355519481,86.30264313699786,0.05294526419438121,1432.9119944200627,True,True,True,3071,0.5,50.0
13,546,2,15.91375422754329,40.40221351683161,0.07202010249980607,474.82346873921375,False,False,True,3071,0.5,50.0
14,2331,1,35.43101641414141,84.36062712054363,0.05888499266240382,1353.3504061762878,True,True,True,3071,0.5,50.0
14,546,2,17.232529423701298,41.03034956898484,0.07417754650205657,447.6842190733577,False,False,True,3071,0.5,50.0
15,2331,1,39.00036187770563,86.13874738030934,0.061426300243254274,1255.4053771218032,True,True,True,3070,0.5,50.0
15,546,2,19.202248545725112,42.41134074090892,0.07526341629331106,419.70163052000464,False,False,True,3070,0.5,50.0
16,2331,1,39.59289772727273,80.03947772822471,0.06631598993085286,1157.1418027349237,True,True,True,3071,0.5,50.0
16,546,2,20.80954646915584,42.067777979411524,0.07538068251134813,388.1903470827633,False,False,True,3071,0.5,50.0
17,2331,1,43.9673428481241,80.76620415741648,0.06504832940946935,1051.475305646715,True,True,True,3070,0.5,50.0
17,546,2,23.57782242063492,43.311492026941075,0.07480303929945424,354.5790022230209,False,False,True,3070,0.5,50.0
18,2331,1,51.319509379509384,81.98298164503295,0.0594340799053621,908.0197244762167,True,True,True,3071,0.5,50.0
18,546,2,29.846922235750363,47.68049631416099,0.0763226100538293,308.3576835274837,False,True,True,3071,0.5,50.0
19,2331,1,56.23634695165945,78.99038195308647,0.0703533966154464,798.3828170903172,True,True,True,3070,0.5,50.0
19,546,2,33.82513990349927,47.511278122149626,0.08406573517906159,276.6739187128171,False,True,True,3070,0.5,50.0
20,2331,1,59.42782850829726,73.93919366498686,0.08331353233853388,707.1945708618775,True,True,True,3071,0.5,50.0
20,546,2,36.81252333603897,45.801577485877786,0.0882464251598204,248.8058309431808,False,True,True,3071,0.5,50.0
21,2331,1,68.02597064393939,75.31599313234057,0.0976688070134138,624.8840864967532,True,True,True,3071,0.5,50.0
