layer,dim,rank_in_layer,mean_abs,ratio_to_median,cv_across_prompts,bos_ratio,qualifies_ratio,in_old_top_variance,selected,n_stable_candidates,cv_max,ratio_min
0,1923,1,3.4308382795589836,23.905409204516918,0.051742823713809755,45.50302726193427,False,False,True,3583,0.5,50.0
0,2570,2,3.2588093476618867,22.706745298812596,0.09197565196399071,104.59871621462699,False,False,True,3583,0.5,50.0
1,2570,1,5.919597051711311,32.61365827455838,0.11340138867524135,263.7988213753936,False,True,True,3582,0.5,50.0
1,458,2,5.683894638347763,31.315070229328988,0.12542840937769492,268.18915549957615,False,True,True,3582,0.5,50.0
2,2570,1,6.993358078553392,30.2457190929076,0.11907090252741408,178.3083710959104,False,True,True,3581,0.5,50.0
2,458,2,6.5045826005591625,28.13180391212322,0.1352661067394267,186.37029358197958,False,True,True,3581,0.5,50.0
3,20,1,8.074796479020112,11.389815977066647,0.3987185021433095,40.068125672167,False,False,True,959,0.5,50.0
3,689,2,4.770421012228874,6.728865254200488,0.44044187077207086,24.146665834117798,False,False,True,959,0.5,50.0
4,20,1,6.168355422247023,9.201686185382819,0.31895818877705356,32.45037227904888,False,False,True,1455,0.5,50.0
4,689,2,5.741084857626912,8.564302412439758,0.4396897737324042,29.755886547503085,False,False,True,1455,0.5,50.0
5,689,1,5.942001571324996,8.691092584519954,0.4148457336399343,28.224652114912004,False,False,True,1649,0.5,50.0
5,20,2,5.794294634402057,8.475048436977453,0.24649635594926136,28.855421668249306,False,False,True,1649,0.5,50.0
6,1461,1,6.573276105608258,9.156098350750277,0.3801728850139628,37.130228936215104,False,False,True,2017,0.5,50.0
6,689,2,6.144526829134677,8.558881608271474,0.39269536078517625,26.71374149842346,False,False,True,2017,0.5,50.0
7,1461,1,7.117797492221318,8.969538040720066,0.3663156473781262,35.99321708267855,False,False,True,2551,0.5,50.0
7,2604,2,6.937880363959772,8.742814320653196,0.33245587303308616,33.685555681097625,False,False,True,2551,0.5,50.0
8,2604,1,7.792811498600683,9.028854367112986,0.33318875274181303,33.744609822704575,False,False,True,2872,0.5,50.0
8,1461,2,7.5283731471030055,8.722472599097594,0.3602912229281577,35.20011767128046,False,False,True,2872,0.5,50.0
9,2953,1,15.031775402603046,17.455777625163233,0.48951113046449013,51.467341585197616,False,False,True,2729,0.5,50.0
9,1043,2,11.687449784712355,13.572150925822896,0.49190157506662496,46.23260580260304,False,False,True,2729,0.5,50.0
10,2953,1,15.464143825602568,18.012367426085245,0.47758060800103985,52.18408559267767,False,False,True,2697,0.5,50.0
10,1043,2,11.636373976229935,13.55384726958998,0.49248756198297494,46.482110209499794,False,False,True,2697,0.5,50.0
11,2953,1,16.547007380233698,18.85296240955166,0.4655576036202279,54.19782774078238,False,False,True,2844,0.5,50.0
11,1043,2,11.707319263056416,13.338825862051765,0.4903934531244911,45.14705398456974,False,False,True,2844,0.5,50.0
12,2953,1,17.33525676688763,19.582881899035694,0.4513809199322133,55.865033869188096,False,False,True,2887,0.5,50.0
12,1043,2,11.795461048825306,13.324816803696727,0.4842852488443327,45.53220896333574,False,False,True,2887,0.5,50.0
13,2953,1,17.579032255450713,19.49934264998634,0.44091435178134025,55.43766973160161,False,False,True,2918,0.5,50.0
13,1660,2,13.027294675268308,14.450379234990844,0.4544908286193026,38.126396831334205,False,False,True,2918,0.5,50.0
14,2953,1,17.88700467284452,19.77125939358305,0.4290358612264951,56.47607316693549,False,False,True,2961,0.5,50.0
14,1660,2,13.369650450867493,14.778037569752556,0.4337255572371292,39.64033123325698,False,False,True,2961,0.5,50.0
15,2953,1,18.45476700599748,19.709627876664868,0.4095971246857171,54.06065141639026,False,False,True,3076,0.5,50.0
15,1660,2,14.78738616987396,15.792877719997163,0.3839477989754777,40.14665859289779,False,False,True,3076,0.5,50.0
16,2953,1,18.832801684535085,19.74834997588005,0.3990643023656314,53.26306560170844,False,False,True,3185,0.5,50.0
16,1660,2,15.152605681536349,15.88924287835591,0.37269470832556145,40.381491165857824,False,False,True,3185,0.5,50.0
17,2953,1,19.28446675354268,19.584778746493864,0.3839415348609312,50.59139079197403,False,False,True,3286,0.5,50.0
17,1660,2,15.175368514948591,15.41169058808321,0.3678901830214978,39.53116891693297,False,False,True,3286,0.5,50.0
18,392,1,25.467964621099384,24.699132991167755,0.4883150692023919,79.98522943442921,False,False,True,3391,0.5,50.0
18,2953,2,20.144826017217376,19.536690280737083,0.3571451566114236,47.74504791262496,False,False,True,3391,0.5,50.0
19,392,1,25.728558930896575,22.613043925122494,0.4710230714391746,71.78483519208976,False,False,True,3470,0.5,50.0
19,2953,2,21.615428255419708,18.997979246057472,0.3253437865866414,44.236553244712184,False,False,True,3470,0.5,50.0
20,392,1,26.39032617610254,20.593701561796262,0.4444223710128896,64.39841667914644,False,False,True,3526,0.5,50.0
20,2953,2,22.716564782873373,17.726880392684677,0.30190031252686356,38.40299401178423,False,False,True,3526,0.5,50.0
21,392,1,27.11192719782929,17.867351916221327,0.41923810093997965,55.53906484597346,False,False,True,3539,0.5,50.0
21,2953,2,24.050931919642856,15.850089201912043,0.2879390379462476,32.12525484026773,False,False,True,3539,0.5,50.0
22,2107,1,81.27939395348575,44.88818496064248,0.48624160022442914,132.08921862908693,False,False,True,3541,0.5,50.0
22,392,2,28.329512689323472,15.645544874152986,0.39296827451486943,47.71614294785454,False,False,True,3541,0.5,50.0
23,2107,1,85.75389207363817,39.62023151438677,0.45631124917656357,112.00004034491873,False,False,True,3548,0.5,50.0
23,392,2,30.558778888212476,14.118844813577056,0.36021759737283277,41.29326501656107,False,False,True,3548,0.5,50.0
24,2107,1,90.77119530968163,34.72541667070977,0.4280807902537861,96.7780830945589,False,False,True,3550,0.5,50.0
24,392,2,32.39543417221884,12.393193083124055,0.3484559778104199,36.19972769175862,False,False,True,3550,0.5,50.0
25,2107,1,93.34536789490892,29.183192983046517,0.40696291130368883,79.60513393309466,False,False,True,3556,0.5,50.0
25,392,2,37.013957220080265,11.571923502791657,0.2985814628373121,30.089333761308907,False,False,True,3556,0.5,50.0
26,2570,1,487.28439484126983,114.18862490250092,0.31127394231455907,254.06786761480376,True,True,True,3575,0.5,50.0
26,2107,2,42.039819624819636,9.851473277060416,0.2426913494657348,17.809590424944737,False,False,True,3575,0.5,50.0
27,46,1,128.05152946879508,64.60183654610499,0.2459190618609803,103.41278438804802,True,False,True,3574,0.5,50.0
27,1069,2,122.14736726570956,61.62319409515035,0.21905278421331992,68.03323298925872,True,True,True,3574,0.5,50.0
