model_name,phase,account,condition,n_items,n_seeds,n_prompts_scored,absC_mean,absC_mean_lo,absC_mean_hi,absC_change_vs_unedited,absC_change_vs_unedited_lo,absC_change_vs_unedited_hi,opt_acc,opt_acc_lo,opt_acc_hi,acc_loss_vs_unedited,acc_loss_vs_unedited_lo,acc_loss_vs_unedited_hi,n_paired_prompts,p_gold_mean,p_gold_loss_vs_unedited,p_gold_loss_vs_unedited_lo,p_gold_loss_vs_unedited_hi,energy_total_A_mean,energy_audit_mean,alpha,sec_mean,restore_mode,n_coords,removed_energy_A_mean,restored_energy_A_mean
qwen2.5-7b-instruct,dev,massive,unedited,3,3,6,1.44384765625,0.125,3.75341796875,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.292872759507971,-0.0,-0.0,-0.0,,,0.0,0.48785003026326496,none,0,,
qwen2.5-7b-instruct,dev,massive,erased,3,3,6,1.3917643229166667,0.03125,3.76904296875,-0.052083333333333336,-0.09375,0.015625,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.28383934217355444,0.009033417334416571,-0.01718672701510801,0.04334077030528233,0.020122672866965053,0.00830650450969394,1.0,0.5725186665852865,none,0,,
qwen2.5-7b-instruct,dev,massive,restore_massive,3,3,6,1.484130859375,0.0625,3.827392578125,0.040283203125,-0.0625,0.109375,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.2884184945774069,0.004454264930564069,-0.013665485358805109,0.026852423131784185,0.018326593847294206,0.008295887218450858,1.0,0.6719377040863037,massive,2,0.022292739660123406,0.003967611711520166
qwen2.5-7b-instruct,dev,massive,erase_massive_only,3,3,6,1.3954874674479167,0.09375,3.93646240234375,-0.048360188802083336,-0.296875,0.18304443359375,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.2894160783885939,0.0034566811193771107,-0.0036929243297918247,0.013165065807861441,0.007734218169208804,0.0016507542770320975,1.0,0.6740913391113281,complement,2,0.0874450993311825,0.07972843187590022
qwen2.5-7b-instruct,dev,massive,restore_all,3,3,6,1.3502604166666667,0.0625,3.89453125,-0.09358723958333333,-0.359375,0.14111328125,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.29053156542201797,0.0023411940859530272,-0.006279478046752614,0.01124441676692769,1.4509826660710826e-06,9.620970198606271e-07,1.0,0.6659141381581625,all,3584,0.11714512283572161,0.11714512283572161
qwen2.5-7b-instruct,dev,massive,restore_random_1,3,3,6,1.4710286458333333,0.09375,3.7255859375,0.027180989583333332,-0.03125,0.140625,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.28447886832533337,0.008393891182637636,-0.0123272285874138,0.03688299969156335,0.020064349702914208,0.008316238793250814,1.0,0.670543352762858,random,2,0.020052680656013715,4.463284292499224e-06
qwen2.5-7b-instruct,dev,massive,restore_equal_energy_1,3,3,6,1.4127197265625,0.09375,3.6131591796875,-0.0311279296875,-0.1402587890625,0.078125,0.16666666666666666,0.0,0.5,-0.0,-0.0,-0.0,6,0.2978926172528635,-0.005019857744892493,-0.023252794767512974,0.006649699546033491,0.02384805890801968,0.008864761981522558,1.0,0.7142295837402344,equal_energy,2,0.020480789095141495,0.003583141386924187
qwen2.5-7b-instruct,test,massive,unedited,2,2,4,0.6787109375,0.25,1.107421875,0.0,0.0,0.0,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.5352770242330827,-0.0,-0.0,-0.0,,,0.0,0.7863513231277466,none,0,,
qwen2.5-7b-instruct,test,massive,erased,2,2,4,0.654296875,0.21875,1.08984375,-0.0244140625,-0.03125,-0.017578125,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.5039575015318354,0.031319522701247264,0.02263813379540592,0.04000091160708861,0.010086505775039206,0.008128134792583525,1.0,0.6529726982116699,none,0,,
qwen2.5-7b-instruct,test,massive,restore_massive,2,2,4,0.6474609375,0.2734375,1.021484375,-0.03125,-0.0859375,0.0234375,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.4973780179500005,0.03789900628308216,0.026562674273786405,0.04923533829237792,0.010096201443478975,0.007819385739139761,1.0,0.7355961799621582,massive,2,0.011927306670124933,0.0018360553941522023
qwen2.5-7b-instruct,test,massive,erase_massive_only,2,2,4,0.7080078125,0.265625,1.150390625,0.029296875,0.015625,0.04296875,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.5346650384115255,0.0006119858215572031,0.0003440629946178317,0.0008799086484965746,0.00441021964743415,0.001908315194551606,1.0,0.729347825050354,complement,2,0.05301141594436867,0.04857568091237881
qwen2.5-7b-instruct,test,massive,restore_all,2,2,4,0.5888671875,0.1015625,1.076171875,-0.08984375,-0.1484375,-0.03125,0.5,0.5,0.5,-0.0,-0.0,-0.0,4,0.5247157445402224,0.010561279692860259,-0.004693003932440369,0.025815563318160886,1.3293928941672841e-06,1.1611265168187902e-06,1.0,0.7213972806930542,all,3584,0.07672268070766067,0.07672268070766067
